label,period,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
Top1 現行基準,all,1543,1543,1.626235049319437,55.86519766688269,1444309.8256145874,936.0400684475615,-145344.10691906782,-47200.0,-7000.420487666303,-13801.530115713287,666
Top1 現行基準,train_2020_2023,971,971,1.3237457048305488,54.685890834191554,438820.43218355824,451.92629473075,-145344.10691906782,-39844.68471911496,-6851.693067906058,-13414.02008925285,666
Top1 現行基準,test_2024_plus,572,572,2.0574188907756774,57.86713286713287,1005489.3934310293,1757.8485899143868,-84900.0,-47200.0,-7505.186791429621,-14414.753156137014,77
Top1 現行基準,y2026,95,95,1.630586319512875,58.94736842105262,169180.00366210926,1780.8421438116764,-84900.0,-47200.0,-11060.0,-24700.0,22
Top3 現行基準,all,4140,1543,1.5597893607518756,56.062801932367144,3418987.5212785136,825.8423964440855,-129474.05811433392,-47200.0,-7355.490709994907,-13652.270019107837,154
Top3 現行基準,train_2020_2023,2637,971,1.3052632145945318,55.10049298445203,1085924.6243503452,411.80304298458293,-122822.08973031193,-39844.68471911496,-6693.200795660812,-12879.562655066155,154
Top3 現行基準,test_2024_plus,1503,572,1.9148213078820666,57.75116433799069,2333062.896928168,1552.2707231724337,-80930.0,-47200.0,-8390.5812533504,-14787.927109365608,52
Top3 現行基準,y2026,264,95,2.21956479432365,58.333333333333336,780680.0073242186,2957.1212398644643,-80930.00000000012,-47200.0,-10685.0,-20913.571166992188,19
Top1 防御選別,all,1506,1506,1.4618181352895134,55.644090305444884,983712.8454912561,653.1957805386827,-104592.21912991918,-39844.68471911496,-6929.097694109197,-13720.739777221825,382
Top1 防御選別,train_2020_2023,950,950,1.2139275046675662,55.05263157894736,268929.9777497212,283.0841871049697,-104592.21912991918,-39844.68471911496,-6432.952471500876,-13653.007229126242,382
Top1 防御選別,test_2024_plus,556,556,1.8187857888305032,56.65467625899281,714782.8677415347,1285.580697376861,-52913.36866073444,-33200.0,-7533.644652382702,-13769.417917075767,84
Top1 防御選別,y2026,93,93,1.5492990592407463,52.68817204301075,118720.00366210932,1276.5591791624659,-33200.0,-33200.0,-9690.0,-15667.999267578125,44
Top3 防御選別,all,3776,1506,1.4846493565094971,55.90572033898306,2500348.974186435,662.1686901976788,-157655.34489388997,-39844.68471911496,-6591.449370102282,-12911.819130948703,292
Top3 防御選別,train_2020_2023,2428,950,1.2338850855465144,54.77759472817133,729235.8546269985,300.34425643616083,-151924.49618284334,-39844.68471911496,-5971.718418992412,-12847.588613512613,292
Top3 防御選別,test_2024_plus,1348,556,1.8676972275468657,57.93768545994066,1771113.119559436,1313.8821361716884,-51079.998779296875,-33200.0,-7220.4708646468425,-12778.682647352429,44
Top3 防御選別,y2026,230,93,2.025346643790554,56.52173913043478,516180.00366210926,2244.2608854874316,-48700.0,-33200.0,-10162.5,-15924.166361490885,14
Top1 厳格選別,all,1501,1501,1.4173386226643105,55.62958027981346,887365.9703832637,591.1831914612017,-107091.8132366692,-39844.68471911496,-6940.701618683647,-13720.739777221825,379
Top1 厳格選別,train_2020_2023,945,945,1.2042279125062367,55.026455026455025,255952.76793482387,270.8494898781205,-107091.8132366692,-39844.68471911496,-6458.266772506859,-13653.007229126242,379
Top1 厳格選別,test_2024_plus,556,556,1.7232856023511804,56.65467625899281,631413.2024484398,1135.6352562022298,-52913.36866073444,-33200.0,-7533.644652382702,-13769.417917075767,84
Top1 厳格選別,y2026,93,93,1.5492990592407463,52.68817204301075,118720.00366210932,1276.5591791624659,-33200.0,-33200.0,-9690.0,-15667.999267578125,44
Top3 厳格選別,all,3762,1501,1.4704710334853124,55.84795321637427,2414656.309326117,641.8544150255494,-157655.34489389,-39844.68471911496,-6585.917023118773,-12859.270250996178,292
Top3 厳格選別,train_2020_2023,2416,945,1.23565912887646,54.71854304635762,728483.1704500983,301.5244910803387,-157655.34489388997,-39844.68471911496,-5931.922293690283,-12811.97788847001,292
Top3 厳格選別,test_2024_plus,1346,556,1.8260837445157994,57.87518573551264,1686173.1388760188,1252.7289293283943,-51079.998779296875,-33200.0,-7223.620228438665,-12778.682647352429,44
Top3 厳格選別,y2026,230,93,2.025346643790554,56.52173913043478,516180.00366210926,2244.2608854874316,-48700.0,-33200.0,-10162.5,-15924.166361490885,14
Top1 health現在除外参考,all,1514,1514,1.563849029942269,56.27476882430648,1332595.7856991983,880.1821570007914,-145733.799391283,-39844.68471911496,-7189.360877481001,-15053.876916586165,447
Top1 health現在除外参考,train_2020_2023,960,960,1.2754544990216763,56.14583333333333,396130.69067856215,412.63613612350224,-145733.799391283,-39844.68471911496,-7112.765839640142,-15722.861673913407,447
Top1 health現在除外参考,test_2024_plus,554,554,2.012074496331529,56.49819494584838,936465.0950206361,1690.3702076184768,-63741.50127234141,-34000.0,-7189.352966315077,-13907.045904025177,95
Top1 health現在除外参考,y2026,94,94,2.451169680680174,59.57446808510638,294660.0036621094,3134.68089002244,-34000.0,-34000.0,-9622.5,-19120.0,22
Top3 health現在除外参考,all,3780,1514,1.5905546876288512,56.322751322751316,3298546.966579835,872.631472640168,-118327.99944787307,-39844.68471911496,-7201.5746818959105,-13924.145088110186,151
Top3 health現在除外参考,train_2020_2023,2424,960,1.3315551884217025,55.61056105610561,1103913.5945198187,455.4098987292981,-114301.88904656963,-39844.68471911496,-6974.192955245731,-13318.130816645393,151
Top3 health現在除外参考,test_2024_plus,1356,554,1.9727965093443451,57.59587020648967,2194633.3720600167,1618.4611888348206,-76250.0,-39440.97066323102,-7812.5,-14868.914540423833,71
Top3 health現在除外参考,y2026,249,94,2.6121553766520837,59.83935742971887,904000.0,3630.5220883534134,-92100.0,-34000.0,-10720.0,-19526.153564453125,34
Top3 sector重複許容,all,4334,1543,1.5732624440489311,56.06829718504846,3482581.9195453697,803.5491277215897,-151117.4577447895,-47200.0,-7001.161610644153,-13206.357841509775,262
Top3 sector重複許容,train_2020_2023,2758,971,1.2540742679697425,54.858593183466276,910108.5423679934,329.98859404205706,-156672.80684459634,-42659.476538160176,-6581.544612086536,-12742.311079791061,262
Top3 sector重複許容,test_2024_plus,1576,572,2.031893179372389,58.185279187817265,2572473.3771773763,1632.2800616607717,-68800.0,-47200.0,-7823.907725912943,-13915.647970407856,33
Top3 sector重複許容,y2026,278,95,2.331181818790484,58.63309352517986,833200.0073242185,2997.122328504383,-68800.0,-47200.0,-10515.0,-20067.142595563615,17
全entry候補,all,7515,1543,1.5116843987260442,55.82168995342648,5345909.70042312,711.3652295972215,-192036.43988425564,-51534.02907440959,-6838.463487921906,-13000.11443537892,137
全entry候補,train_2020_2023,4836,971,1.2695060147990918,54.4044665012407,1602772.4980826138,331.42524774247596,-190803.30153487506,-51534.02907440959,-5957.626384073137,-11875.779751721393,137
全entry候補,test_2024_plus,2679,572,1.8316983235875648,58.379992534527815,3743137.202340506,1397.214334580256,-119612.21739068348,-47200.0,-8406.724082098202,-14677.41708610159,41
全entry候補,y2026,552,95,2.048978636488592,59.60144927536232,1340279.9999999995,2428.0434782608686,-95150.0,-47200.0,-10900.0,-19123.792977168643,13
