top_n,year,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
1,2020,226,226,0.9597588637065582,53.98230088495575,-14625.663968363733,-64.71532729364483,-100901.50983077445,-31764.71570556878,-7490.876075650927,-15749.31584618693,198
1,2021,243,243,1.1679659304298515,53.90946502057613,54911.307582711546,225.97245918811336,-78556.86333852488,-39844.68471911496,-6269.795074656589,-13855.553483769909,100
1,2022,241,241,1.3962519380018894,60.16597510373444,129344.22376886515,536.6980239371998,-53281.04124228943,-27877.672464584335,-6478.518213311645,-14484.221181018338,71
1,2023,240,240,1.4132013266581835,52.083333333333336,99300.11036650823,413.750459860451,-28687.32856160536,-13739.255536937639,-5211.466168460184,-9217.46711860569,49
1,2024,228,228,2.2976321669026474,61.40350877192983,419430.96358090965,1839.6094893899547,-36828.998212949955,-30579.368960181593,-6786.735965133103,-13198.303279418806,34
1,2025,235,235,1.5294385513161983,53.61702127659574,176631.90049851587,751.6251085043228,-52913.368660734486,-21557.270118899076,-5090.0,-12167.728560793556,84
1,2026,93,93,1.5492990592407463,52.68817204301075,118720.00366210932,1276.5591791624659,-33200.0,-33200.0,-9690.0,-15667.999267578125,44
3,2020,554,226,1.0512684353376023,52.34657039711191,38427.25213688998,69.36327100521657,-157655.34489388994,-31764.71570556878,-5969.814238913661,-12719.384707060397,189
3,2021,632,243,1.3922572115327851,54.58860759493671,297935.4942768564,471.41692132413993,-117307.79809881517,-39844.68471911496,-5266.430473632714,-12232.552517146813,81
3,2022,632,241,1.1654148856225293,55.5379746835443,157326.90109058938,248.9349700800465,-112584.19391376202,-36811.24277660042,-6535.343432673773,-15840.386599272348,96
3,2023,610,240,1.3581104994691537,56.393442622950815,235546.2071226628,386.14132315190625,-53076.53602083259,-38136.007543237196,-5144.808928197549,-10114.971523497501,87
3,2024,556,228,2.0021912431163225,61.15107913669065,738202.3590768841,1327.7020846706548,-42141.14883059208,-30579.368960181593,-6666.770607284576,-11335.479464835089,19
3,2025,562,235,1.6449809786908336,55.33807829181495,516730.7568204426,919.4497452321043,-51079.998779296875,-29900.0,-6794.8985929241535,-12125.487918156396,44
3,2026,230,93,2.025346643790554,56.52173913043478,516180.00366210926,2244.2608854874316,-48700.0,-33200.0,-10162.5,-15924.166361490885,14
