"資産名","時価評価額(円)","前日比(円)","前日比率(%)","時価評価額(外貨)","参考為替レート","前日時価評価額(円)","前日時価評価額(外貨)","前日参考為替レート"
"国内株式","0","0","0.00","","","0","",""
"米国株式","0","0","0.00","0.00","159.36","0","0.00","159.17"
"中国株式","0","0","0.00","","","0","",""
"債券","0","0","0.00","","","0","",""
"株式投信","337,921","+1,410","+0.41","","","336,511","",""
"預り金","21,919","+11,919","+119.19","","","10,000","",""
"現金保証金(信用)","1,518,143","-37,209","-2.39","","","1,555,352","",""
"楽天・マネーファンド","0","0","0.00","","","0","",""
"外貨建MMF","0","0","0.00","","","0","",""
"アセアン株式","0","0","0.00","","","0","",""
