銘柄名,コード,市場・商品区分,ニューインデックス区分,33業種区分,17業種区分,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8
三菱重工業,7011,プライム（内国株式）,TOPIX Core30,機械,機械,政策銘柄,防衛・安全保障,エネルギー安全保障,インフラ・建設,,,,
川崎重工業,7012,プライム（内国株式）,TOPIX Mid400,機械,機械,政策銘柄,防衛・安全保障,エネルギー安全保障,,,,,
ＩＨＩ,7013,プライム（内国株式）,TOPIX Mid400,機械,機械,政策銘柄,防衛・安全保障,エネルギー安全保障,インフラ・建設,,,,
日本製鋼所,5631,プライム（内国株式）,TOPIX Mid400,機械,機械,政策銘柄,防衛・安全保障,エネルギー安全保障,,,,,
日本アビオニクス,6946,スタンダード（内国株式）,,電気機器,電機・精密,政策銘柄,防衛・安全保障,半導体・先端技術,,,,,
ＮＥＣ,6701,プライム（内国株式）,TOPIX Large70,電気機器,電機・精密,政策銘柄,デジタル・AI,防衛・安全保障,経済安全保障,,,,
富士通,6702,プライム（内国株式）,TOPIX Large70,電気機器,電機・精密,政策銘柄,デジタル・AI,経済安全保障,,,,,
三菱電機,6503,プライム（内国株式）,TOPIX Core30,電気機器,電機・精密,政策銘柄,防衛・安全保障,半導体・先端技術,インフラ・建設,,,,
日立製作所,6501,プライム（内国株式）,TOPIX Core30,電気機器,電機・精密,政策銘柄,インフラ・建設,半導体・先端技術,デジタル・AI,エネルギー安全保障,,,
東京エレクトロン,8035,プライム（内国株式）,TOPIX Core30,電気機器,電機・精密,政策銘柄,半導体・先端技術,経済安全保障,,,,,
ルネサスエレクトロニクス,6723,プライム（内国株式）,TOPIX Large70,電気機器,電機・精密,政策銘柄,半導体・先端技術,経済安全保障,,,,,
レーザーテック,6920,プライム（内国株式）,TOPIX Large70,電気機器,電機・精密,政策銘柄,半導体・先端技術,経済安全保障,,,,,
SCREENホールディングス,7735,プライム（内国株式）,TOPIX Mid400,電気機器,電機・精密,政策銘柄,半導体・先端技術,経済安全保障,,,,,
アドバンテスト,6857,プライム（内国株式）,TOPIX Large70,電気機器,電機・精密,政策銘柄,半導体・先端技術,経済安全保障,,,,,
信越化学工業,4063,プライム（内国株式）,TOPIX Core30,化学,素材・化学,政策銘柄,半導体・先端技術,経済安全保障,,,,,
ソニーグループ,6758,プライム（内国株式）,TOPIX Core30,電気機器,電機・精密,政策銘柄,半導体・先端技術,デジタル・AI,,,,,
ＴＤＫ,6762,プライム（内国株式）,TOPIX Large70,電気機器,電機・精密,政策銘柄,半導体・先端技術,経済安全保障,,,,,
ソフトバンクグループ,9984,プライム（内国株式）,TOPIX Core30,情報・通信業,情報通信・サービスその他,政策銘柄,デジタル・AI,半導体・先端技術,,,,,
野村総合研究所,4307,プライム（内国株式）,TOPIX Large70,情報・通信業,情報通信・サービスその他,政策銘柄,デジタル・AI,経済安全保障,,,,,
INPEX,1605,プライム（内国株式）,TOPIX Mid400,鉱業,エネルギー資源,政策銘柄,エネルギー安全保障,経済安全保障,,,,,
ENEOSホールディングス,5020,プライム（内国株式）,TOPIX Large70,石油・石炭製品,エネルギー資源,政策銘柄,エネルギー安全保障,経済安全保障,,,,,
電源開発,9513,プライム（内国株式）,TOPIX Mid400,電気・ガス業,電力・ガス,政策銘柄,エネルギー安全保障,インフラ・建設,,,,,
東京電力ホールディングス,9501,プライム（内国株式）,TOPIX Mid400,電気・ガス業,電力・ガス,政策銘柄,エネルギー安全保障,インフラ・建設,,,,,
関西電力,9503,プライム（内国株式）,TOPIX Large70,電気・ガス業,電力・ガス,政策銘柄,エネルギー安全保障,インフラ・建設,,,,,
三菱商事,8058,プライム（内国株式）,TOPIX Core30,卸売業,商社・卸売,政策銘柄,エネルギー安全保障,経済安全保障,,,,,
伊藤忠商事,8001,プライム（内国株式）,TOPIX Large70,卸売業,商社・卸売,政策銘柄,経済安全保障,エネルギー安全保障,,,,,
鹿島建設,1812,プライム（内国株式）,TOPIX Large70,建設業,建設・資材,政策銘柄,インフラ・建設,地方創生・規制改革,,,,,
大林組,1802,プライム（内国株式）,TOPIX Large70,建設業,建設・資材,政策銘柄,インフラ・建設,地方創生・規制改革,,,,,
清水建設,1803,プライム（内国株式）,TOPIX Large70,建設業,建設・資材,政策銘柄,インフラ・建設,地方創生・規制改革,,,,,
大成建設,1801,プライム（内国株式）,TOPIX Large70,建設業,建設・資材,政策銘柄,インフラ・建設,地方創生・規制改革,,,,,
竹中工務店,1766,スタンダード（内国株式）,,建設業,建設・資材,政策銘柄,インフラ・建設,地方創生・規制改革,,,,,
JR西日本,9021,プライム（内国株式）,TOPIX Large70,陸運業,運輸・物流,政策銘柄,インフラ・建設,地方創生・規制改革,,,,,
JR東海,9022,プライム（内国株式）,TOPIX Core30,陸運業,運輸・物流,政策銘柄,インフラ・建設,地方創生・規制改革,,,,,
東急,9005,プライム（内国株式）,TOPIX Mid400,陸運業,運輸・物流,政策銘柄,インフラ・建設,地方創生・規制改革,,,,,
