PublishedDate,Code,ApplicationDate,PublishReason,ShortMarginOutstanding,DailyChangeShortMarginOutstanding,ShortMarginOutstandingListedShareRatio,LongMarginOutstanding,DailyChangeLongMarginOutstanding,LongMarginOutstandingListedShareRatio,ShortLongRatio,ShortNegotiableMarginOutstanding,DailyChangeShortNegotiableMarginOutstanding,ShortStandardizedMarginOutstanding,DailyChangeShortStandardizedMarginOutstanding,LongNegotiableMarginOutstanding,DailyChangeLongNegotiableMarginOutstanding,LongStandardizedMarginOutstanding,DailyChangeLongStandardizedMarginOutstanding,TSEMarginBorrowingAndLendingRegulationClassification
2025-11-28,13190,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,*,2000.0,-3000.0,*,0.0,0.0,0.0,0.0,0.0,1000.0,-2000.0,1000.0,-1000.0,001
2025-11-28,13250,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",7070.0,-390.0,*,280430.0,-9150.0,*,2.5,0.0,0.0,7070.0,-390.0,128610.0,-5120.0,151820.0,-4030.0,001
2025-11-28,133A0,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",2255.0,-985.0,*,24352.0,-12501.0,*,9.3,0.0,-1085.0,2255.0,100.0,9419.0,500.0,14933.0,-13001.0,001
2025-11-28,13580,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",5880.0,31.0,*,8239.0,-322.0,*,71.4,0.0,0.0,5880.0,31.0,4143.0,-40.0,4096.0,-282.0,001
2025-11-28,14690,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",890.0,0.0,*,50220.0,1670.0,*,1.8,0.0,0.0,890.0,0.0,5160.0,0.0,45060.0,1670.0,001
2025-11-28,14860,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,*,5984.0,20.0,*,0.0,0.0,0.0,0.0,0.0,5820.0,1.0,164.0,19.0,001
2025-11-28,14940,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",41.0,0.0,*,1394.0,15.0,*,2.9,0.0,0.0,41.0,0.0,1269.0,3.0,125.0,12.0,001
2025-11-28,15140,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",535000.0,500.0,0.7959,1167000.0,1100.0,1.736,45.8,0.0,0.0,535000.0,500.0,668600.0,500.0,498400.0,600.0,001
2025-11-28,15180,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",23200.0,-1400.0,0.0355,336700.0,5900.0,0.5154,6.9,3000.0,0.0,20200.0,-1400.0,114000.0,-2700.0,222700.0,8600.0,001
2025-11-28,15510,2025-11-27,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,*,280.0,0.0,*,0.0,0.0,0.0,0.0,0.0,100.0,0.0,180.0,0.0,001
