Date,Sector33Code,SellingExcludingShortSellingTurnoverValue,ShortSellingWithRestrictionsTurnoverValue,ShortSellingWithoutRestrictionsTurnoverValue
2025-11-28,0050,2540841850.0,689743800.0,157158650.0
2025-11-28,1050,8544117200.0,6543285100.0,839341600.0
2025-11-28,2050,78720784350.0,38250020550.0,6258290850.0
2025-11-28,3050,74701919250.0,37083566950.0,5073661700.0
2025-11-28,3100,12684857050.0,5335476350.0,1562840850.0
2025-11-28,3150,5648369230.0,3165189610.0,484189560.0
2025-11-28,3200,121653513100.0,69560954590.0,9015462600.0
2025-11-28,3250,101061292700.0,36340356300.0,10211625350.0
2025-11-28,3300,7740857900.0,5379459750.0,616564550.0
2025-11-28,3350,14124149550.0,6175459800.0,1244521250.0
2025-11-28,3400,24875187900.0,19588369400.0,3587908950.0
2025-11-28,3450,27508065470.0,11568952810.0,1559925180.0
2025-11-28,3500,185788191150.0,75566734750.0,35830303200.0
2025-11-28,3550,12604956300.0,7540729550.0,1071586350.0
2025-11-28,3600,337832709320.0,145918421170.0,69759989470.0
2025-11-28,3650,698025236130.0,291653590730.0,158545631380.0
2025-11-28,3700,125079281130.0,70832986810.0,15399509630.0
2025-11-28,3750,48942777850.0,13668246900.0,3322063500.0
2025-11-28,3800,56904853510.0,37384495380.0,7407398570.0
2025-11-28,4050,69258976500.0,33102966400.0,10589285540.0
2025-11-28,5050,32442318250.0,26923129500.0,3002126500.0
2025-11-28,5100,22834083350.0,10989928450.0,1537205800.0
2025-11-28,5150,5033513750.0,2827042700.0,631940150.0
2025-11-28,5200,2868477900.0,1307627900.0,161262850.0
2025-11-28,5250,301868037085.0,132066225540.0,67848989410.0
2025-11-28,6050,133711100150.0,83729405100.0,19775939250.0
2025-11-28,6100,142527693590.0,73330996920.0,15866607200.0
2025-11-28,7050,172764169210.0,72569079380.0,14344487320.0
2025-11-28,7100,17651713700.0,11972869050.0,1377541400.0
2025-11-28,7150,55671543160.0,22341809120.0,4513206200.0
2025-11-28,7200,22333722680.0,9404511260.0,1705667510.0
2025-11-28,8050,43980514970.0,30623474980.0,3484735700.0
2025-11-28,9050,93986084990.0,47652457660.0,7464275900.0
2025-11-28,9999,139349031837.0,65512761777.0,16450964251.0
2025-11-27,0050,2531354450.0,794062500.0,110519450.0
2025-11-27,1050,8324762800.0,8279021200.0,445251200.0
2025-11-27,2050,91411217600.0,34987867850.0,5381516750.0
2025-11-27,3050,68842516850.0,32480447850.0,3122863700.0
2025-11-27,3100,10206589550.0,5146333450.0,654937100.0
2025-11-27,3150,2537986410.0,1663892580.0,118717910.0
2025-11-27,3200,128710557460.0,75210534930.0,7204189310.0
2025-11-27,3250,98668273300.0,37997158300.0,8139578250.0
2025-11-27,3300,5660419750.0,3862438050.0,1020843400.0
2025-11-27,3350,15398549300.0,7046679300.0,481099600.0
2025-11-27,3400,25219816400.0,17682907900.0,2834268600.0
2025-11-27,3450,17395746970.0,7987364960.0,524749490.0
2025-11-27,3500,200189103550.0,87909945200.0,35044602250.0
2025-11-27,3550,13666659200.0,8943475700.0,803890200.0
2025-11-27,3600,244061404260.0,146623134180.0,37561690760.0
2025-11-27,3650,852570591730.0,280535031210.0,198993258170.0
2025-11-27,3700,105437259300.0,60573708150.0,8106675960.0
2025-11-27,3750,47403019100.0,14541173200.0,2148408300.0
2025-11-27,3800,54940740390.0,44312208720.0,4168835330.0
2025-11-27,4050,87921080100.0,43080666810.0,11535460450.0
2025-11-27,5050,32725784350.0,32294302200.0,1621216150.0
2025-11-27,5100,16012128250.0,10010291100.0,832331450.0
2025-11-27,5150,4535049250.0,2850241500.0,716492300.0
2025-11-27,5200,3305439700.0,1362921350.0,95293550.0
2025-11-27,5250,403643843283.0,179858361173.0,84304237640.0
2025-11-27,6050,135733192850.0,65301456550.0,17174923300.0
2025-11-27,6100,146313843030.0,72684474790.0,11977393470.0
2025-11-27,7050,237407670740.0,94022549480.0,11583200510.0
2025-11-27,7100,20726822900.0,8954164000.0,792153800.0
2025-11-27,7150,50648578120.0,19344332880.0,1571573560.0
2025-11-27,7200,17396247910.0,6572140820.0,635534350.0
2025-11-27,8050,49092890710.0,31548082190.0,2260346670.0
