signal_date,ticker,sectors,regime,market_condition,confidence,score,open_price,high_price,low_price,close_price,return_pct,profit_100,win
2025-11-26,7011.T,機械,AGGRESSIVE,YELLOW,★★,30,3947.0,3992.0,3887.0,3931.0,-0.40537116797567774,-1600.0,0
2025-11-26,7012.T,機械,AGGRESSIVE,YELLOW,★★,30,9855.0,10075.0,9715.0,9991.0,1.380010147133435,13600.0,1
2025-11-26,7013.T,機械,AGGRESSIVE,YELLOW,★★,30,2685.0,2767.0,2654.0,2740.0,2.0484171322160147,5500.0,1
2025-11-26,8031.T,卸売業,AGGRESSIVE,YELLOW,★★,25,4059.0,4149.0,4045.0,4133.0,1.8231091401823112,7400.0,1
2025-11-27,7011.T,機械,AGGRESSIVE,GREEN,★★,25,3947.0,3962.0,3879.0,3882.0,-1.6468203699011907,-6500.0,0
2025-11-27,7012.T,機械,AGGRESSIVE,GREEN,★★,45,10020.0,10025.0,9853.0,9935.0,-0.8483033932135728,-8500.0,0
2025-11-28,5631.T,機械,AGGRESSIVE,GREEN,★★,25,9099.0,9358.0,9098.0,9235.0,1.4946697439279042,13600.0,1
2025-11-28,7011.T,機械,AGGRESSIVE,GREEN,★★,45,3919.0,3955.0,3887.0,3947.0,0.7144679765246237,2800.0,1
2025-11-28,7012.T,機械,AGGRESSIVE,GREEN,★★,45,9935.0,9954.0,9827.0,9882.0,-0.5334675390035228,-5300.0,0
2025-11-28,7741.T,精密機器,MODERATE,GREEN,★★,35,23445.0,23480.0,23220.0,23450.0,0.02132650885050117,500.0,1
