signal_date,calc_date,ticker,stock_name,sectors,regime,market_condition,confidence,score,sector_vs_sma5,n225_vs_sma5,rsi_14d,atr_pct,entry_price
2025-11-26,2025-11-25,7011.T,7011,機械,AGGRESSIVE,YELLOW,★★,30,-0.47180786180939793,-0.43070259499832186,28.46015578190533,4.550646670842698,3877.0
2025-11-26,2025-11-25,7012.T,7012,機械,AGGRESSIVE,YELLOW,★★,30,-0.47180786180939793,-0.43070259499832186,14.290201005025125,4.943095820235185,9816.0
2025-11-26,2025-11-25,7013.T,7013,機械,AGGRESSIVE,YELLOW,★★,30,-0.47180786180939793,-0.43070259499832186,25.15212981744422,5.191139308564976,2657.0
2025-11-26,2025-11-25,8031.T,8031,卸売業,AGGRESSIVE,YELLOW,★★,25,0.7484007666959595,-0.43070259499832186,65.21739130434783,2.6138521623848936,3987.0
2025-11-27,2025-11-26,7011.T,7011,機械,AGGRESSIVE,GREEN,★★,25,1.2559990442324225,1.0559452185345801,33.43868520859671,4.117454664389287,3931.0
2025-11-27,2025-11-26,7012.T,7012,機械,AGGRESSIVE,GREEN,★★,45,1.2559990442324225,1.0559452185345801,19.45044766903365,4.588415288044955,9991.0
2025-11-28,2025-11-27,5631.T,5631,機械,AGGRESSIVE,GREEN,★★,25,0.5926452077399188,1.6205107870814397,47.612034504523464,5.43853783572941,8973.0
2025-11-28,2025-11-27,7011.T,7011,機械,AGGRESSIVE,GREEN,★★,45,0.5926452077399188,1.6205107870814397,24.931880108991834,4.022227128873188,3882.0
2025-11-28,2025-11-27,7012.T,7012,機械,AGGRESSIVE,GREEN,★★,45,0.5926452077399188,1.6205107870814397,18.0,4.4144079373067795,9935.0
2025-11-28,2025-11-27,7741.T,7741,精密機器,MODERATE,GREEN,★★,35,0.6845318164683948,1.6205107870814397,21.711366538952745,2.683529627143467,23410.0
