indicator,pearson_mean,pearson_std,spearman_mean,spearman_std,chatterjee_mean,chatterjee_std,n_mean,nonlinear_gap
momentum_10,-0.0384,0.0696,-0.0313,0.0742,0.0233,0.0574,237.3636,-0.015099999999999995
sma_dev_75,-0.0817,0.0814,-0.0842,0.0652,0.0207,0.0457,173.7273,-0.061
roc_5,-0.0214,0.0899,-0.0293,0.0699,0.0157,0.0511,242.3636,-0.0057
rsi_7,-0.0006,0.0784,-0.0344,0.0717,0.0127,0.0594,240.3377,0.0121
volume_ratio,0.0255,0.0803,0.0036,0.0589,0.0121,0.0446,228.3636,-0.013399999999999999
bb_pct_b,-0.0087,0.0875,-0.0408,0.073,0.0109,0.0474,228.3636,0.0022000000000000006
rsi_14,-0.0114,0.087,-0.0421,0.0718,0.0106,0.0504,233.3636,-0.0008000000000000004
macd_hist,-0.0315,0.0649,-0.0245,0.0695,0.0103,0.0465,214.3636,-0.0212
sma_dev_25,-0.0468,0.0895,-0.0472,0.0727,0.01,0.0507,223.3636,-0.0368
stoch_k,-0.008,0.075,-0.0356,0.0695,0.0084,0.0581,234.3636,0.0003999999999999993
williams_r,-0.008,0.075,-0.0356,0.0695,0.0084,0.0581,234.3636,0.0003999999999999993
atr_pct,0.0524,0.0685,0.0193,0.0741,0.0082,0.0528,247.3636,-0.0442
roc_12,-0.0388,0.0775,-0.0323,0.0806,0.0048,0.0565,235.3636,-0.034
