ticker,morning_peak_count,avg_drop,stock_name,market,latest_close
6993.T,22,-8.550691222120037,大黒屋ホールディングス,スタンダード,87.0
8105.T,19,-11.629884002787506,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,スタンダード,294.0
2334.T,19,-8.730829598453495,イオレ,グロース,407.0
338A.T,18,-6.420202503518279,ＺｅｎｍｕＴｅｃｈ,グロース,5550.0
4833.T,18,-8.058986360987104,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,グロース,64.0
2673.T,16,-10.738326026508355,夢みつけ隊,スタンダード,214.0
3905.T,16,-8.976322951825225,データセクション,グロース,2165.0
3747.T,15,-7.836802060552832,インタートレード,スタンダード,663.0
8995.T,15,-9.129650146405192,誠建設工業,スタンダード,825.0
7746.T,15,-7.966704024192525,岡本硝子,スタンダード,334.0
5721.T,14,-6.741228590254126,エス・サイエンス,スタンダード,127.0
7711.T,14,-8.991860429515398,助川電気工業,スタンダード,7190.0
2743.T,14,-10.279036801735076,ピクセルカンパニーズ,スタンダード,27.0
6574.T,13,-6.767352395894002,コンヴァノ,グロース,103.0
3803.T,13,-10.983480365262853,イメージ情報開発,グロース,507.0
2134.T,12,-7.999510700654319,北浜キャピタルパートナーズ,スタンダード,34.0
4316.T,12,-8.795694473266012,ビーマップ,グロース,966.0
6276.T,12,-13.458556592125786,シリウスビジョン,スタンダード,311.0
4564.T,12,-5.838687798957664,オンコセラピー・サイエンス,グロース,21.0
4586.T,12,-9.758699420129249,メドレックス,グロース,114.0
6731.T,12,-6.096312671474823,ピクセラ,スタンダード,40.0
4596.T,12,-8.634242509463652,窪田製薬ホールディングス,グロース,49.0
2338.T,11,-6.319540213269557,クオンタムソリューションズ,スタンダード,370.0
9082.T,11,-8.372330489438239,大和自動車交通,スタンダード,1163.0
2962.T,11,-11.439823606597274,テクニスコ,スタンダード,357.0
218A.T,11,-5.491974866314803,Ｌｉｂｅｒａｗａｒｅ,グロース,1341.0
7063.T,11,-6.622059742362393,Ｂｉｒｄｍａｎ,グロース,159.0
9973.T,11,-6.432518946931364,ＫＯＺＯホールディングス,スタンダード,33.0
155A.T,11,-7.138258407999782,情報戦略テクノロジー,グロース,1339.0
3323.T,10,-7.694233098591229,レカム,スタンダード,83.0
9399.T,10,-6.313145377347685,ビート・ホールディングス・リミテッド（貝徳控股有限公司）,スタンダード,95.0
5856.T,10,-6.148103843043524,エルアイイーエイチ,スタンダード,32.0
247A.T,10,-5.651606893849066,Ａｉロボティクス,グロース,1237.0
5985.T,10,-6.015871147115864,サンコール,スタンダード,1076.0
3997.T,10,-9.484509819241472,トレードワークス,スタンダード,389.0
402A.T,10,-6.877862821864527,アクセルスペースホールディングス,グロース,483.0
2586.T,10,-7.569302389179401,フルッタフルッタ,グロース,128.0
6190.T,9,-10.04379749068616,フェニックスバイオ,グロース,537.0
6016.T,9,-6.132003367346538,ジャパンエンジンコーポレーション,スタンダード,14300.0
6022.T,9,-7.09730741864492,赤阪鐵工所,スタンダード,4415.0
4499.T,9,-7.373059909597862,Ｓｐｅｅｅ,スタンダード,2568.0
6177.T,9,-7.781595339078718,ＡｐｐＢａｎｋ,グロース,130.0
3777.T,9,-4.783045655548202,環境フレンドリーホールディングス,グロース,41.0
2370.T,9,-5.038508010644233,メディネット,グロース,31.0
2315.T,9,-8.521340499866344,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,スタンダード,106.0
194A.T,9,-8.433363590495988,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース,1797.0
4571.T,9,-7.544306185186112,ＮＡＮＯ　ＭＲＮＡ,グロース,148.0
3692.T,9,-7.540806817790168,ＦＦＲＩセキュリティ,グロース,8160.0
6433.T,9,-8.021395639022533,ヒーハイスト,スタンダード,710.0
3664.T,8,-5.886815118700044,モブキャストホールディングス,グロース,36.0
276A.T,8,-7.954627757185716,ククレブ・アドバイザーズ,グロース,2915.0
142A.T,8,-5.779087233797445,ジンジブ,グロース,677.0
9327.T,8,-7.383500423137258,イー・ロジット,スタンダード,229.0
9213.T,8,-10.31119179363116,セイファート,スタンダード,749.0
7093.T,8,-9.222390367345838,アディッシュ,グロース,559.0
3823.T,8,-6.771947944690038,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,スタンダード,55.0
5724.T,8,-6.2266338557295935,アサカ理研,スタンダード,2415.0
2459.T,8,-11.768857234088232,アウンコンサルティング,スタンダード,240.0
8783.T,8,-6.404831806153467,ａｂｃ,スタンダード,247.0
350A.T,8,-5.749134879146023,デジタルグリッド,グロース,816.0
5597.T,8,-5.515193426407414,ブルーイノベーション,グロース,1501.0
5287.T,8,-6.5004722275718585,イトーヨーギョー,スタンダード,1110.0
290A.T,7,-5.334059777701205,Ｓｙｎｓｐｅｃｔｉｖｅ,グロース,1162.0
3856.T,7,-6.419729813524271,Ａｂａｌａｎｃｅ,スタンダード,715.0
2164.T,7,-5.453550807399124,地域新聞社,グロース,270.0
7777.T,7,-5.113286069692692,スリー・ディー・マトリックス,グロース,327.0
6836.T,7,-6.463249440413997,ぷらっとホーム,スタンダード,905.0
431A.T,7,-5.220205971605219,ユーソナー,グロース,2679.0
6573.T,7,-4.400142074350898,アジャイルメディア・ネットワーク,グロース,69.0
5729.T,7,-5.896381476506041,日本精鉱,スタンダード,10070.0
9240.T,7,-9.865641652483992,デリバリーコンサルティング,グロース,520.0
4418.T,7,-6.628000513962555,ＪＤＳＣ,グロース,1292.0
3691.T,7,-7.912613015769425,デジタルプラス,グロース,1362.0
3185.T,7,-11.489443714096165,夢展望,グロース,192.0
3350.T,7,-9.818334581443848,メタプラネット,スタンダード,393.0
319A.T,7,-6.164969807945329,技術承継機構,グロース,9770.0
6347.T,7,-8.82584095200119,プラコー,スタンダード,301.0
9562.T,6,-5.997838253066688,ビジネスコーチ,グロース,2580.0
1844.T,6,-6.716117740116286,大盛工業,スタンダード,553.0
5994.T,6,-5.207894596824128,ファインシンター,スタンダード,1668.0
4592.T,6,-8.722167308430892,サンバイオ,グロース,1745.0
2158.T,6,-5.002765445057911,ＦＲＯＮＴＥＯ,グロース,856.0
6343.T,6,-3.9872340269784092,フリージア・マクロス,スタンダード,144.0
9241.T,6,-6.076471811085408,フューチャーリンクネットワーク,グロース,1927.0
6227.T,6,-5.157973234923328,ＡＩメカテック,スタンダード,4615.0
6736.T,6,-4.661901699873497,サン電子,スタンダード,9110.0
5892.T,6,-5.2032994860667685,ｙｕｔｏｒｉ,グロース,2468.0
9610.T,6,-13.708853703993809,ウィルソン・ラーニング　ワールドワイド,スタンダード,224.0
4563.T,6,-4.48752700987455,アンジェス,グロース,66.0
241A.T,6,-4.981106980918542,ＲＯＸＸ,グロース,430.0
4412.T,6,-4.207553318460975,サイエンスアーツ,グロース,1652.0
438A.T,6,-6.688316387014832,インフキュリオン,グロース,1374.0
189A.T,6,-4.644407270398774,Ｄ＆Ｍカンパニー,グロース,1027.0
4419.T,6,-5.045128708839455,Ｆｉｎａｔｅｘｔホールディングス,グロース,967.0
202A.T,6,-3.9650273268209966,豆蔵,グロース,3820.0
5029.T,6,-4.954491527571471,サークレイス,グロース,1030.0
3810.T,6,-3.9269499594352126,サイバーステップホールディングス,スタンダード,294.0
3306.T,6,-4.18985701084935,日本製麻,スタンダード,711.0
7375.T,6,-3.8783364342853304,リファインバースグループ,グロース,778.0
281A.T,6,-4.150700063779515,インフォメティス,グロース,452.0
7018.T,6,-5.60437973777582,内海造船,スタンダード,15450.0
7603.T,6,-4.0780344746553565,ジーイエット,スタンダード,153.0
7014.T,6,-5.076433013808927,名村造船所,スタンダード,4425.0
5034.T,6,-4.297472660239293,ｕｎｅｒｒｙ,グロース,2517.0
3719.T,6,-8.726285745740194,ＡＩストーム,スタンダード,291.0
7946.T,6,-5.250919297007642,光陽社,スタンダード,1875.0
7138.T,6,-5.219666346107522,ＴＯＲＩＣＯ,グロース,149.0
5256.T,6,-8.404922940644452,Ｆｕｓｉｃ,グロース,2273.0
3446.T,6,-6.490633603525346,ジェイテックコーポレーション,スタンダード,1275.0
3624.T,6,-7.83971741572372,アクセルマーク,グロース,89.0
278A.T,5,-4.8162411008949295,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース,2806.0
206A.T,5,-11.543417601817762,ＰＲＩＳＭ　ＢｉｏＬａｂ,グロース,177.0
1783.T,5,-4.952919934244211,ｆａｎｔａｓｉｓｔａ,スタンダード,58.0
175A.T,5,-6.669245071299632,Ｗｉｌｌ　Ｓｍａｒｔ,グロース,876.0
168A.T,5,-6.896884198304845,イタミアート,グロース,1270.0
6324.T,5,-6.632592457936335,ハーモニック・ドライブ・システムズ,スタンダード,3735.0
9978.T,5,-4.8679471788715505,文教堂グループホールディングス,スタンダード,49.0
3070.T,5,-4.862870159647317,ジェリービーンズグループ,グロース,85.0
6946.T,5,-5.2336002544363796,日本アビオニクス,スタンダード,4535.0
