selection_date,backtest_date,ticker,stock_name,categories,reason,grok_rank,selection_score,buy_price,sell_price,daily_close,high,low,volume,phase1_return,phase1_win,profit_per_100_shares_phase1,phase2_return,phase2_win,profit_per_100_shares_phase2,phase3_1pct_return,phase3_1pct_win,phase3_1pct_exit_reason,profit_per_100_shares_phase3_1pct,phase3_2pct_return,phase3_2pct_win,phase3_2pct_exit_reason,profit_per_100_shares_phase3_2pct,phase3_3pct_return,phase3_3pct_win,phase3_3pct_exit_reason,profit_per_100_shares_phase3_3pct,prompt_version,data_source,morning_high,morning_low,morning_max_gain_pct,morning_max_drawdown_pct,daily_max_gain_pct,daily_max_drawdown_pct,market_cap,shortable,day_trade,ng,day_trade_available_shares,margin_code,margin_code_name,jsf_restricted,is_shortable,prev_close,price_limit,limit_price_upper,max_cost_100,profit_per_100_shares_morning_early,profit_per_100_shares_afternoon_early,date,margin_type,is_ex0,short_p1,short_p2,short_me,short_ae,gap_pct,daily_change_pct,intraday_pct
2025-11-04,2025-11-04,4259.T,エクサウィザーズ,テーマ連動+仕手株,2025年10月31日AIテーマ連動ニュース、Xで「11/04ストップ高」投稿急増。10/31出来高2.5倍、ATR 4.2%、値幅9.34%。時価総額220億円、プライム,1,159.0,675.0,665.0,666.0,675.0,646.0,1769700,-0.014814814814814815,False,-1000.0,-0.013333333333333334,False,-900.0,-0.01,False,stop_loss_-1.0%,-675.0,-0.02,False,stop_loss_-2.0%,-1350.0,-0.03,False,stop_loss_-3.0%,-2025.0,v1_1_web_search,5min,675.0,646.0,0.0,-4.296296296296296,0.0,-4.296296296296296,57599742600.0,False,True,False,,,,,,670.0,100.0,770.0,77000.0,-1200.0,-900.0,2025-11-04,いちにち信用,True,1000.0,900.0,1200.0,900.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,4082.T,第一稀元素化学工業,材料ニュース+テーマ連動,"2025年10月31日レアアース材料ニュース報道、Xで「急騰継続」「11/04仕込み」の言及増加（15件以上）。10/31出来高11,522,000株（平均の5倍）、ATR 7.2%、値幅19.9%。時価総額約200億円、テーマ株連動でストップ高可能性",2,152.0,1381.0,1395.0,1365.0,1430.0,1328.0,6250800,0.010137581462708182,True,1400.0,-0.011585807385952208,False,-1600.0,0.01,True,profit_take_1.0%,1381.0,0.02,True,profit_take_2.0%,2762.0,0.03,True,profit_take_3.0%,4143.0,v1_1_web_search,5min,1430.0,1328.0,3.5481535119478638,-3.837798696596669,3.5481535119478638,-3.837798696596669,33306000000.0,True,True,False,,,,,,1308.0,300.0,1608.0,160800.0,-1300.0,-4300.0,2025-11-04,制度信用,True,-1400.0,1600.0,1300.0,4300.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,3914.T,JIG-SAW,テーマ連動+仕手株,"2025年10月31日ITセキュリティニュース連動急騰、X株クラで「小型IT注目」拡散（12件）。10/31出来高366,300株（平均3.8倍）、ATR 5.2%、値幅13.7%。時価総額274億円、Growth市場で仕手筋期待",4,148.0,3920.0,3525.0,3470.0,4000.0,3445.0,152200,-0.10076530612244898,False,-39500.0,-0.11479591836734694,False,-45000.0,0.01,True,profit_take_1.0%,3920.0000000000005,0.02,True,profit_take_2.0%,7840.000000000001,-0.03,False,stop_loss_-3.0%,-11760.0,v1_1_web_search,5min,4000.0,3525.0,2.0408163265306123,-10.076530612244898,2.0408163265306123,-12.11734693877551,23425970000.0,False,True,False,,,,,,4060.0,700.0,4760.0,476000.0,-30500.0,-45000.0,2025-11-04,いちにち信用,True,39500.0,45000.0,30500.0,45000.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,2445.T,タカミヤ,IR好材料+株クラバズ,2025年10月31日物流関連IR後バズ、X投稿「寄付買い」12件。10/31出来高急増（平均4.2倍）、ATR 6.3%、値幅16.71%。時価総額180億円、プライム小型で流動性高,5,147.0,410.0,409.0,417.0,418.0,405.0,600100,-0.0024390243902439024,False,-100.0,0.01707317073170732,True,700.0,0.01,True,profit_take_1.0%,409.99999999999994,0.014634146341463415,True,hold_until_close,600.0,0.014634146341463415,True,hold_until_close,600.0,v1_1_web_search,5min,415.0,405.0,1.2195121951219512,-1.2195121951219512,1.951219512195122,-1.2195121951219512,19426195200.0,True,True,False,,,,,,416.0,80.0,496.0,49600.0,100.0,500.0,2025-11-04,制度信用,True,100.0,-700.0,-100.0,-500.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,3997.T,トレードワークス,ニュース+テーマ連動,"2025年10月31日業務提携ニュース、Xで「急騰銘柄」言及15件超。10/31出来高2,001,400株（平均4倍）、ATR 6.1%、値幅10.9%。時価総額131億円、ITテーマ連動小型株",6,146.0,338.0,336.0,346.0,368.0,330.0,1567800,-0.005917159763313609,False,-200.0,0.023668639053254437,True,800.0,0.01,True,profit_take_1.0%,338.0,0.02,True,profit_take_2.0%,676.0,0.03,True,profit_take_3.0%,1013.9999999999999,v1_1_web_search,5min,368.0,330.0,8.875739644970414,-2.366863905325444,8.875739644970414,-2.366863905325444,13505418000.0,True,True,False,,,,,,337.0,80.0,417.0,41700.0,-100.0,100.0,2025-11-04,制度信用,True,200.0,-800.0,100.0,-100.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,7746.T,岡本硝子,テーマ連動+株クラバズ,"2025年10月31日ガラス素材ニュース連動、Xで「小型急騰」拡散（11件）。10/31出来高29,188,500株（平均6倍超）、ATR 7.8%、値幅12.5%。時価総額125億円、スタンダード市場",7,140.0,433.0,425.0,387.0,457.0,386.0,10797100,-0.018475750577367205,False,-800.0,-0.10623556581986143,False,-4600.0,0.01,True,profit_take_1.0%,433.0,0.02,True,profit_take_2.0%,866.0,0.03,True,profit_take_3.0%,1299.0,v1_1_web_search,5min,457.0,423.0,5.542725173210162,-2.3094688221709005,5.542725173210162,-10.854503464203233,11270037141.0,False,True,False,,,,,,430.0,80.0,510.0,51000.0,-200.0,-4100.0,2025-11-04,いちにち信用,True,800.0,4600.0,200.0,4100.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,9552.T,M&A総研ホールディングス,ニュース+仕手株,2025年10月31日M&Aニュースで急騰、Xで有名投資家言及（フォロワー1万超）。10/31出来高2倍超、ATR 4.5%、値幅12.8%。時価総額250億円、スタンダード,8,133.0,1265.0,1352.0,1343.0,1400.0,1264.0,1469600,0.06877470355731226,True,8700.0,0.0616600790513834,True,7800.0,0.01,True,profit_take_1.0%,1265.0,0.02,True,profit_take_2.0%,2530.0,0.03,True,profit_take_3.0%,3794.9999999999995,v1_1_web_search,5min,1400.0,1264.0,10.67193675889328,-0.07905138339920949,10.67193675889328,-0.07905138339920949,72658092905.0,True,True,False,,,,,,1267.0,300.0,1567.0,156700.0,11600.0,9800.0,2025-11-04,制度信用,True,-8700.0,-7800.0,-11600.0,-9800.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,1798.T,守谷商会,IR好材料+テーマ株,"2025年10月31日引け後第2四半期決算上方修正IR発表（経常利益43.2%増）、Xで「好決算バズ」投稿10件超。10/31出来高34,200株（平均2.5倍）、ATR 4.1%、値幅21.7%。時価総額145億円、地熱・核融合テーマ連動",9,105.0,6720.0,7020.0,7060.0,7200.0,6560.0,22200,0.044642857142857144,True,30000.0,0.050595238095238096,True,34000.0,-0.01,False,stop_loss_-1.0%,-6720.0,-0.02,False,stop_loss_-2.0%,-13440.0,0.03,True,profit_take_3.0%,20160.0,v1_1_web_search,5min,7200.0,6560.0,7.142857142857142,-2.380952380952381,7.142857142857142,-2.380952380952381,15955600000.0,False,True,False,,,,,,6420.0,1000.0,7420.0,742000.0,38000.0,15000.0,2025-11-04,いちにち信用,True,-30000.0,-34000.0,-38000.0,-15000.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,4436.T,ミンカブ・ジ・インフォノイド,IR好材料+株クラバズ,2025年10月31日フィンテックIR、Xバズ「デイトレ銘柄」10件超。10/31出来高平均3倍、ATR 5.0%、値幅10.57%。時価総額300億円、Growth市場,11,90.0,466.0,478.0,481.0,482.0,462.0,67700,0.02575107296137339,True,1200.0,0.032188841201716736,True,1500.0,0.01,True,profit_take_1.0%,466.0,0.02,True,profit_take_2.0%,932.0,0.03,True,profit_take_3.0%,1397.9999999999998,v1_1_web_search,5min,480.0,462.0,3.004291845493562,-0.8583690987124464,3.4334763948497855,-0.8583690987124464,7392825700.0,False,True,False,,,,,,482.0,80.0,562.0,56200.0,1100.0,1200.0,2025-11-04,いちにち信用,True,-1200.0,-1500.0,-1100.0,-1200.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
2025-11-04,2025-11-04,8014.T,蝶理,IR好材料+株クラバズ,"2025年10月31日化学素材IR発表後急騰、Xで「11/04デイトレ対象」投稿急増（8件）。10/31出来高152,300株（平均2.2倍）、ATR 4.8%、値幅11.68%。時価総額約300億円、売買代金8000万円超で流動性確保",12,81.0,3905.0,3920.0,3890.0,3940.0,3815.0,31500,0.0038412291933418692,True,1500.0,-0.0038412291933418692,False,-1500.0,-0.01,False,stop_loss_-1.0%,-3905.0000000000005,-0.02,False,stop_loss_-2.0%,-7810.000000000001,0.002560819462227913,True,hold_until_close,1000.0,v1_1_web_search,5min,3935.0,3815.0,0.7682458386683738,-2.3047375160051216,0.8962868117797695,-2.3047375160051216,98430529420.0,True,True,False,,,,,,3975.0,700.0,4675.0,467500.0,-1500.0,2500.0,2025-11-04,制度信用,True,-1500.0,1500.0,1500.0,-2500.0,-0.15203344735841884,-2.5750665146332192,-2.4267224971450325
