ticker,stock_name,trade_count,win_count,lose_count,win_rate,avg_return,price,first_date,last_date,shortable,day_trade,ng
1433.T,ベステラ,1,1,0,100.0,1.35,1181,,,,True,False,False
1436.T,グリーンエナジー＆カンパ,1,1,0,100.0,3.20,2344,,,,False,True,False
153A.T,カウリス,1,1,0,100.0,0.36,1386,,,,True,True,False
155A.T,情報戦略テクノロジー,2,1,1,50.0,6.27,1340,,,,True,True,False
1605.T,ＩＮＰＥＸ,1,0,1,0.0,-0.28,3217,,,,True,False,False
166A.T,タスキホールディングス,1,1,0,100.0,0.76,654,,,,True,True,False
1798.T,守谷商会,2,0,2,0.0,-10.68,6720,,,,False,True,False
1802.T,大林組,1,0,1,0.0,-1.41,3114,,,,True,True,False
1803.T,清水建設,1,0,1,0.0,-0.36,2760,,,,True,True,False
1844.T,大盛工業,3,2,1,66.7,0.44,514,,,,False,True,False
1909.T,日本ドライケミカル,2,2,0,100.0,0.97,8720,,,,True,True,False
1944.T,きんでん,1,1,0,100.0,0.83,6255,,,,True,True,False
1950.T,日本電設工業,1,0,1,0.0,-0.84,2857,,,,True,True,False
198A.T,ＰｏｓｔＰｒｉｍｅ,1,0,1,0.0,-19.80,202,,,,False,True,False
202A.T,豆蔵ホールディングス,1,0,1,0.0,-2.56,3315,,,,False,True,False
205A.T,ロゴスホールディングス,1,1,0,100.0,1.94,1647,,,,False,True,False
206A.T,ＰＲＩＳＭ　ＢｉｏＬａｂ,1,1,0,100.0,19.01,242,,,,False,True,False
212A.T,フィットイージー,1,1,0,100.0,5.04,2760,,,,False,True,False
2134.T,北浜キャピタルパートナー,3,2,1,66.7,-3.54,35,,,,False,False,True
2160.T,ジーエヌアイグループ,1,1,0,100.0,1.32,2499,,,,True,True,False
2164.T,地域新聞社,2,1,1,50.0,7.01,314,,,,False,False,True
218A.T,Liberaware,1,0,1,0.0,-5.59,1270,,,,False,True,False
218A.T,Ｌｉｂｅｒａｗａｒｅ,2,1,1,50.0,0.24,1352,,,,False,True,False
219A.T,Heartseed(株),1,1,0,100.0,4.37,1900,,,,True,True,False
219A.T,Ｈｅａｒｔｓｅｅｄ,1,1,0,100.0,3.02,2120,,,,True,True,False
2291.T,福留ハム,1,0,1,0.0,-0.33,606,,,,True,True,False
2334.T,イオレ,4,2,2,50.0,-1.03,416,,,,False,True,False
2338.T,クオンタムソリューション,1,0,1,0.0,-3.61,415,,,,False,True,False
2342.T,トランスジェニックグルー,1,1,0,100.0,15.12,377,,,,False,True,False
2371.T,カカクコム,1,0,1,0.0,-0.93,2208,,,,True,True,False
2375.T,ギグワークス,1,1,0,100.0,10.27,263,,,,False,True,False
2378.T,セントケア・ホールディン,1,1,0,100.0,0.48,1043,,,,True,True,False
2385.T,総医研ホールディングス,2,2,0,100.0,7.89,256,,,,False,True,False
241A.T,ROXX,1,1,0,100.0,4.72,635,,,,True,True,False
2436.T,共同ピーアール,1,1,0,100.0,1.19,1010,,,,False,True,False
2437.T,Ｓｈｉｎｗａ　Ｗｉｓｅ　,1,0,1,0.0,-9.72,319,,,,False,True,False
