date,ticker,name,prev_close,open,high,high_time,low,low_time,close
2025-12-02,4777.T,ガーラ,223.0,270.0,303.0,09:15:00,226.0,10:50:00,227.0
2025-12-02,4579.T,ラクオリア創薬,1054.0,1281.0,1344.0,09:25:00,1002.0,10:30:00,1094.0
2025-10-08,4814.T,ネクストウェア,202.0,226.0,272.0,09:35:00,212.0,14:20:00,222.0
2025-10-23,4777.T,ガーラ,225.0,238.0,286.0,09:10:00,232.0,14:20:00,234.0
2025-11-28,7356.T,Ｒｅｔｔｙ,169.0,179.0,207.0,09:35:00,174.0,14:35:00,174.0
2025-11-12,8912.T,エリアクエスト,160.0,182.0,193.0,09:05:00,162.0,15:10:00,163.0
2025-11-19,4664.T,アール・エス・シー,905.0,950.0,1044.0,09:35:00,824.0,12:45:00,887.0
2025-10-06,1844.T,大盛工業,722.0,812.0,850.0,09:15:00,712.0,10:10:00,727.0
2025-10-14,265A.T,Hmcomm,1050.0,1140.0,1238.0,09:10:00,1045.0,13:05:00,1060.0
2025-11-17,2334.T,イオレ,446.0,520.0,523.0,09:20:00,440.0,10:05:00,449.0
2025-11-25,5255.T,モンスターラボ,200.0,208.0,228.0,09:05:00,195.0,14:50:00,197.0
2025-12-02,5721.T,エス・サイエンス,125.0,134.0,156.0,09:35:00,133.0,14:10:00,135.0
2025-11-07,9242.T,メディア総研,1957.0,2087.0,2254.0,09:10:00,1957.0,15:20:00,1957.0
2025-11-18,290A.T,Ｓｙｎｓｐｅｃｔｉｖｅ,1037.0,1162.0,1171.0,09:05:00,980.0,12:40:00,1021.0
2025-09-08,9610.T,ウィルソン・ラーニング　ワールドワイド,223.0,231.0,260.0,09:00:00,220.0,10:35:00,227.0
2025-12-03,6666.T,リバーエレテック,413.0,443.0,491.0,09:55:00,416.0,09:10:00,429.0
2025-11-05,3914.T,JIG-SAW,3470.0,3890.0,4000.0,09:25:00,3505.0,15:20:00,3505.0
2025-11-19,6993.T,大黒屋ホールディングス,60.0,66.0,67.0,09:05:00,58.0,10:50:00,59.0
2025-11-07,3077.T,ホリイフードサービス,517.0,677.0,686.0,09:45:00,583.0,14:45:00,605.0
2025-12-01,4420.T,イーソル,557.0,657.0,657.0,09:50:00,572.0,15:20:00,582.0
