ticker,stock_name,market,morning_peak_count,avg_drop,latest_close,shortable,day_trade,ng,detected_at,last_seen_at,status,am_peak_count,pm_peak_count,am_peak_ratio,recovery_rate
4584.T,キッズウェル・バイオ,グロース,3,-6.117510614062337,210.0,False,True,False,2025-12-14,2025-12-14,active,2,1,66.7,0.0
7422.T,東邦レマック,スタンダード,4,-7.045230771747594,540.0,False,True,False,2025-12-14,2025-12-14,active,4,0,100.0,0.0
3998.T,すららネット,グロース,3,-5.772487967114294,338.0,True,True,False,2025-12-14,2025-12-14,active,3,0,100.0,0.0
3077.T,ホリイフードサービス,スタンダード,4,-7.432992621102647,438.0,False,True,False,2025-12-14,2025-12-14,active,4,0,100.0,0.0
2934.T,ジェイフロンティア,グロース,3,-5.760592025114621,1311.0,False,True,False,2025-12-14,2025-12-14,active,3,0,100.0,0.0
4673.T,川崎地質,スタンダード,4,-6.020895804931372,4480.0,False,True,False,2025-12-14,2025-12-14,active,4,0,100.0,0.0
3189.T,ＡＮＡＰホールディングス,スタンダード,13,-6.835959099739126,350.0,False,True,False,2025-12-14,2025-12-14,active,10,3,76.9,0.0
2370.T,メディネット,グロース,11,-6.79134946000811,30.0,False,False,True,2025-12-14,2025-12-14,active,11,0,100.0,0.0
7777.T,スリー・ディー・マトリックス,グロース,10,-6.855659120714411,368.0,False,True,False,2025-12-14,2025-12-14,active,10,0,100.0,0.0
7111.T,ＩＮＥＳＴ,スタンダード,8,-6.886751265238487,523.0,False,True,False,2025-12-14,2025-12-14,active,7,1,87.5,0.0
5572.T,Ｒｉｄｇｅ−ｉ,グロース,5,-6.044875437719638,2220.0,False,True,False,2025-12-14,2025-12-14,active,5,0,100.0,0.0
8127.T,ヤマトインターナショナル,スタンダード,3,-7.133786848072563,472.0,False,True,False,2025-12-14,2025-12-14,active,3,0,100.0,0.0
6629.T,テクノホライゾン,スタンダード,8,-7.2977434760411795,808.0,True,True,False,2025-12-14,2025-12-14,active,6,2,75.0,0.0
3747.T,インタートレード,スタンダード,23,-7.861398892448569,666.0,True,True,False,2025-12-14,2025-12-14,active,19,4,82.6,0.0
5590.T,ネットスターズ,グロース,4,-7.491198589947905,883.0,True,True,False,2025-12-14,2025-12-14,active,4,0,100.0,0.0
3446.T,ジェイテックコーポレーション,スタンダード,8,-6.869348966677388,1204.0,True,True,False,2025-12-14,2025-12-14,active,8,0,100.0,0.0
1382.T,ホーブ,スタンダード,11,-12.17299381055068,1794.0,False,True,False,2025-12-14,2025-12-14,active,6,5,54.5,0.0
2667.T,イメージ　ワン,スタンダード,7,-6.267118413556174,154.0,False,True,False,2025-12-14,2025-12-14,active,7,0,100.0,0.0
4412.T,サイエンスアーツ,グロース,7,-5.6910539166635274,1599.0,False,True,False,2025-12-14,2025-12-14,active,7,0,100.0,0.0
4833.T,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,グロース,25,-8.712241626762609,61.0,False,False,True,2025-12-14,2025-12-14,active,22,3,88.0,0.0
8836.T,ＲＩＳＥ,スタンダード,7,-5.905895275643175,31.0,False,False,True,2025-12-14,2025-12-14,active,6,1,85.7,0.0
9215.T,ＣａＳｙ,グロース,7,-9.540143644106971,899.0,False,True,False,2025-12-14,2025-12-14,active,7,0,100.0,0.0
219A.T,Ｈｅａｒｔｓｅｅｄ,グロース,10,-8.293355079777038,1924.0,True,True,False,2025-12-14,2025-12-14,active,9,1,90.0,0.0
4576.T,デ・ウエスタン・セラピテクス研究所,グロース,6,-11.219120839801278,99.0,False,True,False,2025-12-14,2025-12-14,active,6,0,100.0,0.0
276A.T,ククレブ・アドバイザーズ,グロース,9,-8.97314019446366,2686.0,False,True,False,2025-12-14,2025-12-14,active,9,0,100.0,0.0
9227.T,マイクロ波化学,グロース,10,-6.346718164966999,677.0,False,True,False,2025-12-14,2025-12-14,active,8,2,80.0,0.0
5243.T,ｎｏｔｅ,グロース,11,-7.1992705218524256,1454.0,False,True,False,2025-12-14,2025-12-14,active,10,1,90.9,0.0
3672.T,オルトプラス,スタンダード,9,-5.936485724948516,57.0,False,False,True,2025-12-14,2025-12-14,active,8,1,88.9,0.0
4478.T,フリー,グロース,4,-6.420098307518731,2951.0,True,True,False,2025-12-14,2025-12-14,active,4,0,100.0,0.0
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース,7,-5.598411330769589,3235.0,False,True,False,2025-12-14,2025-12-14,active,7,0,100.0,0.0
7356.T,Ｒｅｔｔｙ,グロース,7,-10.665554916138527,150.0,False,True,False,2025-12-14,2025-12-14,active,7,0,100.0,0.0
3928.T,マイネット,スタンダード,5,-9.341674598010007,247.0,False,True,False,2025-12-14,2025-12-14,active,4,1,80.0,0.0
8254.T,さいか屋,スタンダード,6,-7.699633972027236,372.0,False,True,False,2025-12-14,2025-12-14,active,6,0,100.0,0.0
7035.T,ａｎｄ　ｆａｃｔｏｒｙ,スタンダード,4,-8.21190983236985,210.0,False,True,False,2025-12-14,2025-12-14,active,3,1,75.0,0.0
4175.T,ｃｏｌｙ,グロース,3,-5.694160887353319,1770.0,False,True,False,2025-12-14,2025-12-14,active,3,0,100.0,0.0
7014.T,名村造船所,スタンダード,5,-6.662812981100528,4140.0,True,True,False,2025-12-14,2025-12-14,active,5,0,100.0,0.0
4382.T,ＨＥＲＯＺ,スタンダード,3,-5.251714139934453,915.0,True,True,False,2025-12-14,2025-12-14,active,3,0,100.0,0.0
6335.T,東京機械製作所,スタンダード,9,-9.62482858980707,463.0,False,True,False,2025-12-14,2025-12-14,active,9,0,100.0,0.0
4255.T,ＴＨＥＣＯＯ,グロース,6,-8.612716217021184,1853.0,False,True,False,2025-12-14,2025-12-14,active,5,1,83.3,0.0
6521.T,オキサイド,グロース,9,-6.383044300168566,1429.0,False,True,False,2025-12-14,2025-12-14,active,8,1,88.9,0.0
1965.T,テクノ菱和,スタンダード,3,-5.720433260927784,6620.0,True,True,False,2025-12-14,2025-12-14,active,3,0,100.0,0.0
1491.T,中外鉱業,スタンダード,5,-8.237286366560252,721.0,False,True,False,2025-12-14,2025-12-14,active,5,0,100.0,0.0
9345.T,ビズメイツ,グロース,4,-7.282174592161621,753.0,False,True,False,2025-12-14,2025-12-14,active,4,0,100.0,0.0
5216.T,倉元製作所,スタンダード,9,-7.617450296352967,176.0,False,True,False,2025-12-14,2025-12-14,active,8,1,88.9,0.0
6666.T,リバーエレテック,スタンダード,7,-7.420944172612378,453.0,False,True,False,2025-12-14,2025-12-14,active,6,1,85.7,0.0
7131.T,のむら産業,スタンダード,4,-5.921900591920666,2678.0,False,True,False,2025-12-14,2025-12-14,active,3,1,75.0,0.0
5858.T,ＳＴＧ,グロース,5,-6.666185205764454,1566.0,False,True,False,2025-12-14,2025-12-14,active,5,0,100.0,0.0
4379.T,Ｐｈｏｔｏｓｙｎｔｈ,グロース,3,-6.662495927012056,356.0,False,True,False,2025-12-14,2025-12-14,active,3,0,100.0,0.0
9399.T,ビート・ホールディングス・リミテッド（貝徳控股有限公司）,スタンダード,16,-8.714663491033367,87.0,False,False,True,2025-12-14,2025-12-14,active,16,0,100.0,0.0
8013.T,ナイガイ,スタンダード,14,-8.320443749821125,281.0,False,True,False,2025-12-14,2025-12-14,active,10,4,71.4,0.0
6696.T,トラース・オン・プロダクト,グロース,4,-9.808884831365258,303.0,False,True,False,2025-12-14,2025-12-14,active,3,1,75.0,0.0
4586.T,メドレックス,グロース,17,-9.609778602131149,115.0,False,True,False,2025-12-14,2025-12-14,active,15,2,88.2,0.0
3377.T,バイク王＆カンパニー,スタンダード,4,-6.235567085110463,399.0,False,True,False,2025-12-14,2025-12-14,active,3,1,75.0,0.0
3692.T,ＦＦＲＩセキュリティ,グロース,13,-7.364916659785932,7210.0,True,False,False,2025-12-14,2025-12-14,active,12,1,92.3,0.0
