ticker,stock_name,market,latest_close,morning_peak_count,am_peak_count,pm_peak_count,am_peak_ratio,avg_drop,avg_volume,avg_turnover,recovery_rate,shortable,day_trade
3747.T,インタートレード,スタンダード,664.0,24,20,4,83.3,-8.3%,860963.3333333334,571679653.3333334,60.0,True,True
4316.T,ビーマップ,グロース,966.0,23,18,5,78.3,-10.1%,346137.9310344828,334369241.37931037,50.0,False,True
5287.T,イトーヨーギョー,スタンダード,1112.0,20,20,0,100.0,-7.4%,215414.51612903227,239540941.93548387,60.0,False,True
8995.T,誠建設工業,スタンダード,825.0,20,18,2,90.0,-10.6%,72170.96774193548,59541048.38709678,66.66666666666666,False,True
218A.T,Ｌｉｂｅｒａｗａｒｅ,グロース,1345.0,17,16,1,94.1,-7.4%,1204626.6666666667,1620222866.6666667,68.75,False,True
9082.T,大和自動車交通,スタンダード,1160.0,17,15,2,88.2,-10.3%,61433.898305084746,71263322.03389831,53.333333333333336,False,True
9213.T,セイファート,スタンダード,750.0,17,10,7,58.8,-13.7%,71866.12903225806,53899596.77419355,50.0,False,True
1844.T,大盛工業,スタンダード,554.0,17,16,1,94.1,-7.4%,924903.2258064516,512396387.0967742,37.5,False,True
3803.T,イメージ情報開発,グロース,508.0,16,15,1,93.8,-12.2%,332241.93548387097,168778903.22580644,53.333333333333336,False,True
5985.T,サンコール,スタンダード,1080.0,15,14,1,93.3,-6.9%,1342693.5483870967,1450109032.2580645,73.33333333333333,True,True
7318.T,セレンディップ・ホールディングス,グロース,984.0,15,15,0,100.0,-12.6%,119946.7741935484,118027625.80645162,66.66666666666666,False,True
7093.T,アディッシュ,グロース,559.0,14,11,3,78.6,-8.8%,92740.32258064517,51841840.32258065,72.72727272727273,False,True
194A.T,ＷＯＬＶＥＳ　ＨＡＮＤ,グロース,1798.0,14,12,2,85.7,-9.0%,92259.67741935483,165882900.0,41.66666666666667,False,True
4592.T,サンバイオ,グロース,1751.0,13,13,0,100.0,-9.5%,2403866.6666666665,4209170533.333333,46.15384615384615,False,True
6190.T,フェニックスバイオ,グロース,543.0,12,12,0,100.0,-10.0%,269348.3333333333,146256145.0,53.84615384615385,False,True
6433.T,ヒーハイスト,スタンダード,710.0,12,12,0,100.0,-10.5%,538201.6666666666,382123183.3333333,58.333333333333336,False,True
9227.T,マイクロ波化学,グロース,694.0,12,9,3,75.0,-7.2%,588250.0,408245500.0,77.77777777777779,False,True
7501.T,ティムコ,スタンダード,1345.0,11,10,1,90.9,-8.5%,24610.0,33100450.0,60.0,False,True
5597.T,ブルーイノベーション,グロース,1505.0,11,9,2,81.8,-7.0%,147535.0,222040175.0,55.55555555555556,False,True
1382.T,ホーブ,スタンダード,1795.0,11,6,5,54.5,-12.2%,27711.290322580644,49741766.129032254,50.0,False,True
5246.T,ＥＬＥＭＥＮＴＳ,グロース,568.0,10,8,2,80.0,-7.4%,725048.3870967742,411827483.87096775,62.5,False,True
4418.T,ＪＤＳＣ,グロース,1299.0,10,9,1,90.0,-8.5%,655345.9016393443,851294326.2295083,80.0,False,True
155A.T,情報戦略テクノロジー,グロース,1341.0,10,10,0,100.0,-8.6%,448530.6451612903,601479595.1612903,50.0,True,True
247A.T,Ａｉロボティクス,グロース,1238.0,10,10,0,100.0,-7.0%,1821787.0967741935,2255372425.8064513,70.0,False,True
142A.T,ジンジブ,グロース,683.0,10,9,1,90.0,-7.7%,39758.06451612903,27154758.064516127,77.77777777777779,False,True
350A.T,デジタルグリッド,グロース,818.0,10,9,1,90.0,-6.3%,373481.9672131148,305508249.1803279,88.88888888888889,False,True
3542.T,ベガコーポレーション,グロース,1309.0,10,10,0,100.0,-6.5%,84248.3870967742,110281138.70967743,60.0,True,True
175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,グロース,868.0,10,9,1,90.0,-7.9%,47885.48387096774,41564600.0,66.66666666666666,False,True
2998.T,クリアル,グロース,798.0,9,9,0,100.0,-7.7%,225841.93548387097,180221864.51612905,60.0,False,True
3195.T,ジェネレーションパス,グロース,567.0,9,6,3,66.7,-10.4%,365461.6666666667,207216765.0,66.66666666666666,False,True
9553.T,マイクロアド,グロース,540.0,9,9,0,100.0,-6.6%,361550.0,195237000.0,66.66666666666666,True,True
4935.T,リベルタ,スタンダード,1885.0,9,8,1,88.9,-7.3%,122913.33333333333,231691633.3333333,75.0,False,True
168A.T,イタミアート,グロース,1270.0,9,7,2,77.8,-8.0%,51143.54838709677,64952306.451612905,42.857142857142854,False,True
3691.T,デジタルプラス,グロース,1363.0,9,9,0,100.0,-8.4%,65379.032258064515,89111620.96774194,33.33333333333333,False,True
6521.T,オキサイド,グロース,1498.0,9,8,1,88.9,-6.4%,139677.4193548387,209236774.19354838,100.0,False,True
3079.T,ディーブイエックス,スタンダード,1177.0,9,5,4,55.6,-9.8%,44738.983050847455,52657783.050847456,60.0,True,True
9271.T,和心,グロース,854.0,9,8,1,88.9,-7.3%,101522.58064516129,86700283.87096775,50.0,False,True
