strategy,profit,wins,losses,draws,winrate,avg_profit,max_profit,max_loss
損切りなし,782830,236,160,18,57.00483091787439,1890.8937198067633,142500,-130000
一律1.0%,277698,136,265,13,32.850241545893724,670.768115942029,142500,-18200
一律1.5%,405420,161,238,15,38.88888888888889,979.2753623188406,142500,-27300
一律2.0%,407846,177,221,16,42.7536231884058,985.135265700483,142500,-36400
一律2.5%,540196,191,206,17,46.13526570048309,1304.8212560386473,142500,-45500
一律3.0%,509230,198,199,17,47.82608695652174,1230.024154589372,142500,-54600
一律4.0%,560571,214,182,18,51.690821256038646,1354.036231884058,142500,-72800
一律5.0%,754156,224,172,18,54.106280193236714,1821.6328502415458,142500,-91000
一律7.0%,783874,228,168,18,55.072463768115945,1893.415458937198,142500,-127400
一律10.0%,788390,229,167,18,55.31400966183575,1904.3236714975844,142500,-130000
価格帯別,531058,208,189,17,50.24154589371981,1282.7487922705313,142500,-36400
