model,n,days,pf,win,sum,avg,dd,worst,cvar05,variant,entry,long_exit,short_entry,short_exit,type
avoid_overheat_noru: L 09:05->10:00,100,44,1.0777765595877644,49.0,24766.650390625,247.66650390625,-93083.349609375,-32500.0,-25800.0,avoid_overheat_noru,09:05,10:00,-,-,long_only
avoid_overheat_noru: L 09:05->10:00 / S 10:00->13:30,100,44,0.8581251048130136,48.0,-84600.0,-846.0,-235250.0,-119000.0,-61900.0,avoid_overheat_noru,09:05,10:00,10:00,13:30,long_short
avoid_overheat_noru: L 09:05->10:00 / S 10:00->14:00,100,44,0.9347244587087237,47.0,-38266.69921875,-382.6669921875,-208533.349609375,-114000.0,-57140.0,avoid_overheat_noru,09:05,10:00,10:00,14:00,long_short
avoid_overheat_noru: L 09:05->10:00 / S 10:00->14:30,100,44,0.8802023454603936,52.0,-71816.69921875,-718.1669921875,-204483.349609375,-109000.0,-62920.0,avoid_overheat_noru,09:05,10:00,10:00,14:30,long_short
avoid_overheat_noru: L 09:05->10:00 / S 10:00->15:00,100,44,0.9535113187521914,52.0,-25883.349609375,-258.83349609375,-157766.69921875,-91000.0,-58960.0,avoid_overheat_noru,09:05,10:00,10:00,15:00,long_short
avoid_overheat_noru: L 09:05->10:00 / S 10:00->15:25,5,5,2.554054054054054,40.0,11500.0,2300.0,-4800.0,-4500.0,-4500.0,avoid_overheat_noru,09:05,10:00,10:00,15:25,long_short
avoid_overheat_noru: L 09:05->10:15,100,44,1.1154248170822756,53.0,38650.0,386.5,-102150.0,-31500.0,-21585.714285714286,avoid_overheat_noru,09:05,10:15,-,-,long_only
avoid_overheat_noru: L 09:05->10:15 / S 10:15->13:30,100,44,0.8918353657890614,51.0,-56833.30078125,-568.3330078125,-176183.30078125,-95000.0,-52060.0,avoid_overheat_noru,09:05,10:15,10:15,13:30,long_short
avoid_overheat_noru: L 09:05->10:15 / S 10:15->14:00,100,44,0.9794687951751668,50.0,-10500.0,-105.0,-149466.650390625,-90000.0,-46280.0,avoid_overheat_noru,09:05,10:15,10:15,14:00,long_short
avoid_overheat_noru: L 09:05->10:15 / S 10:15->14:30,100,44,0.9135455142315198,53.0,-44050.0,-440.5,-146416.650390625,-85000.0,-52580.0,avoid_overheat_noru,09:05,10:15,10:15,14:30,long_short
avoid_overheat_noru: L 09:05->10:15 / S 10:15->15:00,100,44,1.0038732125642673,55.00000000000001,1883.349609375,18.83349609375,-111300.0,-67000.0,-47660.0,avoid_overheat_noru,09:05,10:15,10:15,15:00,long_short
avoid_overheat_noru: L 09:05->10:15 / S 10:15->15:25,5,5,0.27906976744186046,40.0,-6200.0,-1240.0,-6400.0,-5900.0,-5900.0,avoid_overheat_noru,09:05,10:15,10:15,15:25,long_short
avoid_overheat_noru: L 09:05->10:30,100,44,0.9795812745369815,54.0,-8516.650390625,-85.16650390625,-130600.0,-46500.0,-34300.0,avoid_overheat_noru,09:05,10:30,-,-,long_only
avoid_overheat_noru: L 09:05->10:30 / S 10:30->13:30,100,44,0.7359996479872511,45.0,-151166.6015625,-1511.666015625,-229983.30078125,-48100.0,-39020.0,avoid_overheat_noru,09:05,10:30,10:30,13:30,long_short
avoid_overheat_noru: L 09:05->10:30 / S 10:30->14:00,100,44,0.8100673959937494,43.0,-104833.30078125,-1048.3330078125,-194766.650390625,-44500.0,-37740.0,avoid_overheat_noru,09:05,10:30,10:30,14:00,long_short
avoid_overheat_noru: L 09:05->10:30 / S 10:30->14:30,100,44,0.7540289712384465,44.0,-138383.30078125,-1383.8330078125,-197716.650390625,-47000.0,-39780.0,avoid_overheat_noru,09:05,10:30,10:30,14:30,long_short
avoid_overheat_noru: L 09:05->10:30 / S 10:30->15:00,100,44,0.8371643308289299,46.0,-92449.951171875,-924.49951171875,-163450.0,-51000.0,-41340.0,avoid_overheat_noru,09:05,10:30,10:30,15:00,long_short
avoid_overheat_noru: L 09:05->10:30 / S 10:30->15:25,5,5,0.08466819221967964,40.0,-40000.0,-8000.0,-42600.0,-28400.0,-28400.0,avoid_overheat_noru,09:05,10:30,10:30,15:25,long_short
avoid_overheat_noru: L 09:05->10:45,100,44,1.0424360641970796,50.0,20183.30078125,201.8330078125,-179016.69921875,-49000.0,-37920.0,avoid_overheat_noru,09:05,10:45,-,-,long_only
avoid_overheat_noru: L 09:05->10:45 / S 10:45->13:30,100,44,0.8335305471656601,46.0,-93766.69921875,-937.6669921875,-196266.69921875,-49500.0,-39820.0,avoid_overheat_noru,09:05,10:45,10:45,13:30,long_short
avoid_overheat_noru: L 09:05->10:45 / S 10:45->14:00,100,44,0.9122091538944335,45.0,-47433.3984375,-474.333984375,-163083.3984375,-49000.0,-39160.0,avoid_overheat_noru,09:05,10:45,10:45,14:00,long_short
avoid_overheat_noru: L 09:05->10:45 / S 10:45->14:30,100,44,0.8529713303225023,43.0,-80983.3984375,-809.833984375,-181533.3984375,-52000.0,-38780.0,avoid_overheat_noru,09:05,10:45,10:45,14:30,long_short
avoid_overheat_noru: L 09:05->10:45 / S 10:45->15:00,100,44,0.9374311182268363,46.0,-35050.048828125,-350.50048828125,-181100.048828125,-56000.0,-40480.0,avoid_overheat_noru,09:05,10:45,10:45,15:00,long_short
avoid_overheat_noru: L 09:05->10:45 / S 10:45->15:25,5,5,0.17989417989417988,40.0,-31000.0,-6200.0,-34900.0,-24000.0,-24000.0,avoid_overheat_noru,09:05,10:45,10:45,15:25,long_short
avoid_overheat_noru: L 09:05->11:00,100,44,0.9851587777924807,50.0,-8066.69921875,-80.6669921875,-251066.69921875,-50300.0,-44420.0,avoid_overheat_noru,09:05,11:00,-,-,long_only
avoid_overheat_noru: L 09:05->11:00 / S 11:00->13:30,100,44,0.7675509332218269,44.0,-150266.69921875,-1502.6669921875,-306616.69921875,-61700.0,-51040.0,avoid_overheat_noru,09:05,11:00,11:00,13:30,long_short
avoid_overheat_noru: L 09:05->11:00 / S 11:00->14:00,100,44,0.8310712743803332,46.0,-103933.3984375,-1039.333984375,-263083.3984375,-60500.0,-51020.0,avoid_overheat_noru,09:05,11:00,11:00,14:00,long_short
avoid_overheat_noru: L 09:05->11:00 / S 11:00->14:30,100,44,0.7730110980825747,50.0,-137483.3984375,-1374.833984375,-258783.3984375,-65000.0,-49380.0,avoid_overheat_noru,09:05,11:00,11:00,14:30,long_short
avoid_overheat_noru: L 09:05->11:00 / S 11:00->15:00,100,44,0.8482050837811077,53.0,-91550.048828125,-915.50048828125,-236600.048828125,-71000.0,-55860.0,avoid_overheat_noru,09:05,11:00,11:00,15:00,long_short
avoid_overheat_noru: L 09:05->11:00 / S 11:00->15:25,5,5,0.16757741347905283,40.0,-45700.0,-9140.0,-52800.0,-42000.0,-42000.0,avoid_overheat_noru,09:05,11:00,11:00,15:25,long_short
avoid_overheat_noru: L 09:10->10:00,98,41,0.9954252951009825,47.95918367346938,-1466.650390625,-14.9658203125,-142416.650390625,-44000.0,-27840.0,avoid_overheat_noru,09:10,10:00,-,-,long_only
avoid_overheat_noru: L 09:10->10:00 / S 10:00->13:30,98,41,0.6065551938549274,43.87755102040816,-241483.30078125,-2464.115314094388,-290083.30078125,-122000.0,-58390.0,avoid_overheat_noru,09:10,10:00,10:00,13:30,long_short
avoid_overheat_noru: L 09:10->10:00 / S 10:00->14:00,98,41,0.6535963830661734,45.91836734693878,-210700.0,-2150.0,-265000.0,-117000.0,-54080.0,avoid_overheat_noru,09:10,10:00,10:00,14:00,long_short
avoid_overheat_noru: L 09:10->10:00 / S 10:00->14:30,98,41,0.6441041104586573,46.93877551020408,-224250.0,-2288.265306122449,-273650.0,-112000.0,-57010.0,avoid_overheat_noru,09:10,10:00,10:00,14:30,long_short
avoid_overheat_noru: L 09:10->10:00 / S 10:00->15:00,98,41,0.7276105157429984,52.04081632653062,-162516.650390625,-1658.3331672512754,-231216.650390625,-94000.0,-51910.0,avoid_overheat_noru,09:10,10:00,10:00,15:00,long_short
avoid_overheat_noru: L 09:10->10:00 / S 10:00->15:25,5,5,0.5966514459665144,20.0,-13250.0,-2650.0,-25900.0,-25900.0,-25900.0,avoid_overheat_noru,09:10,10:00,10:00,15:25,long_short
avoid_overheat_noru: L 09:10->10:15,98,41,1.1309176662357747,54.08163265306123,44016.69921875,449.1499920280612,-152383.30078125,-43000.0,-27940.0,avoid_overheat_noru,09:10,10:15,-,-,long_only
avoid_overheat_noru: L 09:10->10:15 / S 10:15->13:30,98,41,0.6994476512821333,50.0,-150516.6015625,-1535.8836894132653,-214816.6015625,-98000.0,-46260.0,avoid_overheat_noru,09:10,10:15,10:15,13:30,long_short
avoid_overheat_noru: L 09:10->10:15 / S 10:15->14:00,98,41,0.7597324910987465,46.93877551020408,-119733.30078125,-1221.7683753188776,-189733.30078125,-93000.0,-43240.0,avoid_overheat_noru,09:10,10:15,10:15,14:00,long_short
