variant,n,days,pf,win_rate,sum_pnl_100,avg_pnl_100,max_dd_100,worst_trade_100,q05_100,cvar05_100,from,to
all_top3,1226,427,1.0539857572086206,46.084828711256115,478120.0,389.9836867862969,-1468400.0,-433000.0,-27700.0,-83408.06451612903,2024-06-05,2026-05-22
tradable_top1,418,418,1.2194509481510607,47.60765550239234,245570.0,587.4880382775119,-156950.0,-29200.0,-12400.0,-19100.0,2024-06-05,2026-05-22
tradable_top3,1154,418,0.961304733362517,45.493934142114384,-172370.00000000003,-149.367417677643,-641500.0,-178000.0,-16000.0,-30248.387096774193,2024-06-05,2026-05-22
tradable_left_tail_guard,1140,416,1.0173666409541329,46.14035087719298,73170.0,64.1842105263158,-631480.0,-147500.0,-16024.999999999998,-29122.80701754386,2024-06-05,2026-05-22
tradable_price_guard,1151,418,1.0296463856010956,45.87315377932233,121230.0,105.32580364900087,-567080.0,-178000.0,-15750.0,-26498.275862068964,2024-06-05,2026-05-22
chimp_all_tradable,3515,185,0.8124914930483867,46.514935988620195,-2452150.0,-697.624466571835,-3044610.0,-131500.0,-18030.0,-33636.47727272727,2024-06-06,2026-05-22
chimp_label_a_all,1665,185,0.807796404411355,45.22522522522522,-1310940.0,-787.3513513513514,-1790890.0,-131500.0,-19260.0,-33213.09523809524,2024-06-06,2026-05-22
chimp_top1_score,185,185,1.1788650491277322,48.10810810810811,80279.99999999999,433.9459459459459,-82050.0,-21300.0,-12240.0,-16290.0,2024-06-06,2026-05-22
chimp_top3_score,555,185,0.9950532670622165,46.666666666666664,-10479.999999999978,-18.882882882882843,-319030.0,-131500.0,-17239.999999999996,-30199.64285714286,2024-06-06,2026-05-22
chimp_top3_low_price,555,185,1.081827174741875,47.207207207207205,158820.00000000003,286.1621621621622,-322750.0,-68000.0,-15649.999999999998,-25610.35714285714,2024-06-06,2026-05-22
market_momentum_top1,236,236,1.2161596336277396,46.186440677966104,132160.0,560.0,-115950.0,-28000.0,-12075.0,-17000.0,2024-06-06,2026-05-15
market_momentum_top3,680,236,0.9673958202310574,45.0,-85539.99999999999,-125.7941176470588,-400500.0,-178000.0,-15524.999999999998,-29823.529411764706,2024-06-06,2026-05-15
market_momentum_guard_top1,235,235,1.2242229896398618,46.38297872340426,136350.0,580.2127659574468,-115950.0,-28000.0,-12090.0,-17000.0,2024-06-06,2026-05-15
