code,yf_revenue_growth,yf_operating_margin,yf_profit_margin,yf_forward_pe,yf_trailing_pe,yf_market_cap
NVDA,73.2,65.024,55.603004,19.713346,46.077713,5457368842240
TSM,35.099999999999994,58.105,46.505,20.718122,34.708157,2097120935936
MU,196.3,67.624,41.486000000000004,7.064195,34.246693,817223696384
AMAT,11.4,31.896,29.314,27.439754,41.151745,346505936896
LRCX,23.799999999999997,35.042998,30.938998,35.98157,53.720753,356062593024
ASML,13.200000000000001,36.020002,29.713,31.568121,49.499344,578824110080
KLAC,11.5,41.215,35.661998,36.224842,51.027145,235693834240
TER,87.0,37.614,22.553,35.51689,62.454716,52892467200
AMD,37.8,14.396,13.374,32.73839,140.89702,691537707008
INTC,7.199999999999999,6.8790000000000004,-5.904,70.938034,,546677981184
QCOM,-3.5000000000000004,22.059,22.308001,18.94385,21.64232,212370472960
TXN,18.6,37.824002,29.108,32.11376,51.83733,275512393728
ADI,30.4,33.067,23.024,31.515173,76.323586,203820351488
ON,4.7,18.232,9.462,26.518652,83.16912,43977531392
NXPI,12.2,47.375,21.031,16.535517,27.868069,73595314176
STM,23.0,3.6510002,1.1879999,27.538116,383.8125,54580846592
IFNNY,,46.666999999999994,7.2340004,25.709461,78.666664,98138210304
